T	X	Y	HEADING	NOW_NUM
0.1114	0.0000	0.0000	45.0000	739183.045568
0.2290	0.0000	0.0000	45.0000	739183.045568
0.3433	0.0000	0.0000	45.0000	739183.045568
0.4597	0.0000	0.0000	45.0000	739183.045568
0.5704	0.0000	0.0000	45.0000	739183.045568
0.6707	0.0000	0.0000	30.0000	739183.045568
0.7900	0.0000	0.0000	12.0000	739183.045568
0.8917	0.0000	0.0000	6.0000	739183.045568
0.9959	0.0000	0.0000	6.0000	739183.045568
1.1071	0.0000	0.0000	6.0000	739183.045568
1.2085	0.0000	0.0000	6.0000	739183.045568
1.3162	-0.2984	0.0314	6.0000	739183.045568
1.4179	-0.2984	0.0314	6.0000	739183.045568
1.5421	-0.2984	0.0314	15.0000	739183.045568
1.6479	-0.2984	0.0314	30.0000	739183.045568
1.7629	-0.6231	0.2189	30.0000	739183.045568
1.8870	-0.9479	0.4064	30.0000	739183.045568
1.9926	-1.2077	0.5564	30.0000	739183.045568
2.1094	-1.6302	0.7060	12.0000	739183.045568
2.2226	-2.0035	0.7373	3.0000	739183.045568
2.3264	-2.4529	0.7609	3.0000	739183.045568
2.4369	-2.9772	0.7883	3.0000	739183.045568
2.5387	-3.4239	0.8353	12.0000	739183.045568
2.6468	-3.6377	0.9048	27.0000	739183.045568
2.7577	-3.6377	0.9048	42.0000	739183.045568
2.8658	-3.6377	0.9048	57.0000	739183.045568
2.9754	-3.6377	0.9048	72.0000	739183.045568
3.0792	-3.6377	0.9048	84.0000	739183.045568
3.1918	-3.6377	0.9048	99.0000	739183.045568
3.2993	-3.6377	0.9048	117.0000	739183.045568
3.4013	-3.6377	0.9048	132.0000	739183.045568
3.5157	-3.6377	0.9048	147.0000	739183.045568
3.6226	-3.6377	0.9048	165.0000	739183.045568
3.7374	-3.6377	0.9048	177.0000	739183.045568
3.8566	-3.6377	0.9048	177.0000	739183.045568
3.9653	-3.6377	0.9048	177.0000	739183.045568
4.0691	-3.6377	0.9048	189.0000	739183.045568
4.1722	-3.6377	0.9048	201.0000	739183.045568
4.2787	-3.6377	0.9048	216.0000	739183.045568
4.3969	-3.6377	0.9048	237.0000	739183.045568
4.5136	-3.6377	0.9048	249.0000	739183.045568
4.6239	-3.6377	0.9048	234.0000	739183.045568
4.7427	-3.6377	0.9048	216.0000	739183.045568
4.8610	-3.6377	0.9048	198.0000	739183.045568
4.9758	-3.6377	0.9048	183.0000	739183.045568
5.0796	-3.6377	0.9048	168.0000	739183.045568
5.1812	-3.6377	0.9048	153.0000	739183.045568
5.2880	-3.6377	0.9048	141.0000	739183.045568
5.4071	-3.6377	0.9048	126.0000	739183.045568
5.5125	-3.5357	1.1050	114.0000	739183.045568
5.6339	-3.4161	1.4604	108.0000	739183.045568
5.7360	-3.3002	1.8170	108.0000	739183.045568
5.8545	-3.1843	2.1737	108.0000	739183.045568
5.9614	-3.0916	2.4590	108.0000	739183.045568
6.0817	-2.9757	2.8156	108.0000	739183.045568
6.1990	-2.8598	3.1723	108.0000	739183.045568
6.3090	-2.7208	3.6003	108.0000	739183.045568
6.4221	-2.5817	4.0282	108.0000	739183.045568
6.5327	-2.4528	4.2985	120.0000	739183.045568
6.6347	-2.2174	4.5892	135.0000	739183.045568
6.7509	-1.8481	4.8430	153.0000	739183.045568
6.8566	-1.5658	4.9430	165.0000	739183.045568
6.9783	-1.4190	4.9742	156.0000	739183.045568
7.0926	-1.4190	4.9742	141.0000	739183.045568
7.2076	-1.4190	4.9742	123.0000	739183.045568
7.3103	-1.4190	4.9742	108.0000	739183.045568
7.4217	-1.4190	4.9742	114.0000	739183.045568
7.5347	-1.4190	4.9742	135.0000	739183.045568
7.6426	-1.4190	4.9742	153.0000	739183.045568
7.7453	-1.4190	4.9742	171.0000	739183.045568
7.8592	-1.4190	4.9742	189.0000	739183.045568
7.9696	-1.4190	4.9742	207.0000	739183.045568
8.0755	-1.3633	4.9240	222.0000	739183.045568
8.1829	-1.0846	4.6731	222.0000	739183.045568
8.2830	-0.8086	4.4193	225.0000	739183.045568
8.3878	-0.7711	4.3544	240.0000	739183.045568
8.4931	-0.6215	3.9319	258.0000	739183.045568
8.6007	-0.6020	3.5584	273.0000	739183.045568
8.7131	-0.6565	3.2639	291.0000	739183.045568
8.8347	-0.6565	3.2639	306.0000	739183.045568
8.9591	-0.6565	3.2639	321.0000	739183.045568
9.0666	-0.6565	3.2639	336.0000	739183.045568
9.1811	-0.6565	3.2639	354.0000	739183.045568
9.2912	-0.6565	3.2639	369.0000	739183.045568
9.4027	-0.6565	3.2639	387.0000	739183.045568
9.5124	-0.6565	3.2639	405.0000	739183.045568
9.6187	-0.6565	3.2639	420.0000	739183.045568
9.7331	-0.6565	3.2639	441.0000	739183.045568
9.8396	-0.6683	3.4886	447.0000	739183.045568
9.9516	-0.6919	3.9380	447.0000	739183.045568
10.0630	-0.7115	4.3125	447.0000	739183.045568
10.1645	-0.7311	4.6870	447.0000	739183.045568
10.2688	-0.8357	5.1228	429.0000	739183.045568
10.3773	-1.0699	5.5050	411.0000	739183.045568
10.4864	-1.3479	5.7552	396.0000	739183.045568
10.6026	-1.5425	5.8676	381.0000	739183.045568
10.7124	-1.5425	5.8676	366.0000	739183.045568
10.8167	-1.8416	5.8480	354.0000	739183.045568
10.9323	-2.2891	5.8010	354.0000	739183.045568
11.0463	-2.8113	5.7461	354.0000	739183.045568
11.1558	-3.1842	5.7069	354.0000	739183.045568
11.2728	-3.5572	5.6677	354.0000	739183.045568
11.3889	-3.9311	5.6520	363.0000	739183.045568
11.5025	-4.4429	5.7648	375.0000	739183.045568
11.6250	-4.8052	5.8619	375.0000	739183.045568
11.7448	-4.8052	5.8619	375.0000	739183.045568
11.8575	-4.9542	5.8736	360.0000	739183.045568
11.9722	-5.4021	5.8305	354.0000	739183.045568
12.0856	-5.7750	5.7913	354.0000	739183.045568
12.1959	-6.0737	5.7638	360.0000	739183.045568
12.2960	-6.0737	5.7638	375.0000	739183.045568
12.4074	-6.0737	5.7638	393.0000	739183.045568
12.5215	-6.2824	5.9781	411.0000	739183.045568
0.1037	0.0000	0.0000	45.0000	739183.053481
0.2107	0.0000	0.0000	45.0000	739183.053481
0.3144	0.0000	0.0000	45.0000	739183.053481
0.4297	0.0000	0.0000	45.0000	739183.053481
0.5422	0.0000	0.0000	45.0000	739183.053481
0.6571	0.0000	0.0000	45.0000	739183.053481
0.7605	0.0000	0.0000	45.0000	739183.053481
0.8730	0.0000	0.0000	45.0000	739183.053481
0.9886	0.0000	0.0000	45.0000	739183.053481
1.0929	0.0000	0.0000	45.0000	739183.053481
1.2071	0.0000	0.0000	45.0000	739183.053481
1.3156	0.0000	0.0000	33.0000	739183.053481
1.4281	0.0000	0.0000	18.0000	739183.053481
1.5429	0.0000	0.0000	18.0000	739183.053481
1.6599	0.0000	0.0000	18.0000	739183.053481
1.7770	-0.2140	0.0695	18.0000	739183.053481
1.8913	-0.6420	0.2086	18.0000	739183.053481
2.0003	-0.6420	0.2086	30.0000	739183.053481
2.1007	-0.8936	0.3720	33.0000	739183.053481
