T	X	Y	HEADING	NOW_NUM
0.1131	0.0000	0.0000	45.0000	739183.052142
0.2292	0.0000	0.0000	45.0000	739183.052142
0.3469	0.0000	0.0000	45.0000	739183.052142
0.4543	0.0000	0.0000	45.0000	739183.052142
0.5728	0.0000	0.0000	45.0000	739183.052142
0.6986	0.0000	0.0000	45.0000	739183.052142
0.8101	0.0000	0.0000	45.0000	739183.052142
0.9128	0.0000	0.0000	45.0000	739183.052142
1.0264	0.0000	0.0000	45.0000	739183.052142
1.1313	0.0000	0.0000	45.0000	739183.052142
1.2368	0.0000	0.0000	45.0000	739183.052142
1.3480	-0.3182	0.3182	45.0000	739183.052142
1.4539	-0.6364	0.6364	45.0000	739183.052142
1.5541	-0.8987	0.9043	48.0000	739183.052142
1.6666	-0.9900	1.0232	66.0000	739183.052142
1.7825	-0.9900	1.0232	87.0000	739183.052142
1.8877	-0.9900	1.0232	105.0000	739183.052142
1.9992	-0.9900	1.0232	114.0000	739183.052142
2.1036	-0.9627	1.1707	99.0000	739183.052142
2.2049	-0.9156	1.6182	96.0000	739183.052142
2.3282	-0.8686	2.0657	96.0000	739183.052142
2.4357	-0.8294	2.4387	96.0000	739183.052142
2.5532	-0.8255	2.5136	78.0000	739183.052142
2.6560	-0.8255	2.5136	63.0000	739183.052142
2.7669	-0.8255	2.5136	51.0000	739183.052142
2.8821	-0.8255	2.5136	36.0000	739183.052142
2.9831	-0.8255	2.5136	21.0000	739183.052142
3.1018	-0.8255	2.5136	3.0000	739183.052142
3.2126	-0.8255	2.5136	-15.0000	739183.052142
3.3129	-0.8255	2.5136	-30.0000	739183.052142
3.4315	-0.8255	2.5136	-48.0000	739183.052142
3.5493	-0.8255	2.5136	-66.0000	739183.052142
3.6642	-0.8255	2.5136	-84.0000	739183.052142
3.7812	-0.8255	2.5136	-102.0000	739183.052142
3.8910	-0.8255	2.5136	-117.0000	739183.052142
4.0034	-0.8255	2.5136	-132.0000	739183.052142
4.1156	-0.8255	2.5136	-147.0000	739183.052142
4.2319	-0.8255	2.5136	-162.0000	739183.052142
4.3387	-0.8255	2.5136	-177.0000	739183.052142
4.4589	-0.8255	2.5136	-192.0000	739183.052142
4.5622	-0.8255	2.5136	-207.0000	739183.052142
4.6755	-0.8255	2.5136	-222.0000	739183.052142
4.7962	-0.8255	2.5136	-240.0000	739183.052142
4.9120	-0.8255	2.5136	-258.0000	739183.052142
5.0240	-0.7745	2.9606	-264.0000	739183.052142
5.1423	-0.7275	3.4081	-264.0000	739183.052142
5.2613	-0.6883	3.7811	-264.0000	739183.052142
5.3656	-0.6413	4.2286	-264.0000	739183.052142
5.4712	-0.6021	4.6016	-264.0000	739183.052142
5.5809	-0.5550	5.0491	-264.0000	739183.052142
5.6902	-0.5080	5.4966	-264.0000	739183.052142
5.8003	-0.4727	5.8699	-270.0000	739183.052142
5.9023	-0.4727	5.8699	-285.0000	739183.052142
6.0023	-0.4727	5.8699	-300.0000	739183.052142
6.1060	-0.4727	5.8699	-315.0000	739183.052142
6.2203	-0.4727	5.8699	-330.0000	739183.052142
6.3363	-0.4727	5.8699	-345.0000	739183.052142
6.4503	-0.4727	5.8699	-363.0000	739183.052142
6.5578	-0.4727	5.8699	-378.0000	739183.052142
6.6791	-0.4727	5.8699	-396.0000	739183.052142
