MAZE_FILE_INDEX	BLOCK	TOUR_HAND	IS_COMPLETE	DELTA_T	N_ERRORS	EOL_RATING	JOL_RATING	RCJ_RATING	PLAYER_LIN_VEL	PLAYER_RAD_VEL	PLAYER_BODY_RADIUS	N_PRAC_TRIALS	N_BLOCKS	TOUR_LIN_VEL	TOUR_RAD_VEL	FRAME_RATE	PERSPEC_ANGLE	EYE_LEVEL	COORD_T_INTERVAL	COORD_MAX_T	N_ROWS	N_COLS	NOW_NUM	DATE
14	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
9	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
15	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
5	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
11	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
7	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
12	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
18	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
20	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
6	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
2	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
16	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
1	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
4	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
13	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
19	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
10	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
8	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
3	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
17	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.694900	09-Nov-2023 16:40:39
19	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
14	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
16	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
11	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
7	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
4	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
5	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
15	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
9	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
1	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
10	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
20	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
2	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
17	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
3	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
18	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
8	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
6	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
12	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
13	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
5	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
9	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
