T	X	Y	HEADING	NOW_NUM
0.1089	0.0000	0.0000	45.0000	739183.046840
0.2232	0.0000	0.0000	45.0000	739183.046840
0.3385	0.0000	0.0000	45.0000	739183.046840
0.4574	0.0000	0.0000	45.0000	739183.046840
0.5707	0.0000	0.0000	45.0000	739183.046840
0.6852	0.0000	0.0000	45.0000	739183.046840
0.7987	0.0000	0.0000	45.0000	739183.046840
0.9133	0.0000	0.0000	45.0000	739183.046840
1.0179	0.0000	0.0000	45.0000	739183.046840
1.1303	0.0000	0.0000	45.0000	739183.046840
1.2310	0.0000	0.0000	45.0000	739183.046840
1.3346	-0.1591	0.1591	45.0000	739183.046840
1.4393	-0.4243	0.4243	45.0000	739183.046840
1.5415	-0.6364	0.6364	45.0000	739183.046840
1.6535	-0.9546	0.9546	45.0000	739183.046840
1.7573	-1.0961	1.1293	63.0000	739183.046840
1.8632	-1.0961	1.1293	81.0000	739183.046840
1.9763	-1.0961	1.1293	99.0000	739183.046840
2.0847	-1.0961	1.1293	114.0000	739183.046840
2.1877	-1.0351	1.2663	114.0000	739183.046840
2.3094	-0.8825	1.6089	114.0000	739183.046840
2.4167	-0.6995	2.0200	114.0000	739183.046840
2.5172	-0.5470	2.3626	114.0000	739183.046840
2.6254	-0.4502	2.7238	99.0000	739183.046840
2.7467	-0.4502	3.0978	84.0000	739183.046840
2.8628	-0.5775	3.5275	66.0000	739183.046840
2.9695	-0.7340	3.7829	54.0000	739183.046840
3.0854	-0.9984	4.0473	39.0000	739183.046840
3.1969	-1.3923	4.2612	21.0000	739183.046840
3.3048	-1.8330	4.3429	3.0000	739183.046840
3.4263	-2.2773	4.2844	-15.0000	739183.046840
3.5431	-2.6819	4.0914	-33.0000	739183.046840
3.6477	-2.9598	3.8412	-48.0000	739183.046840
3.7497	-3.1635	3.5275	-63.0000	739183.046840
3.8655	-3.1940	3.4590	-81.0000	739183.046840
3.9671	-3.1940	3.4590	-90.0000	739183.046840
4.0733	-3.1940	3.4590	-105.0000	739183.046840
4.1885	-3.1940	3.4590	-126.0000	739183.046840
4.2899	-3.1940	3.4590	-144.0000	739183.046840
4.3901	-3.1940	3.4590	-159.0000	739183.046840
4.5000	-3.1940	3.4590	-177.0000	739183.046840
4.6038	-3.1940	3.4590	-192.0000	739183.046840
4.7220	-3.1940	3.4590	-210.0000	739183.046840
4.8221	-3.1940	3.4590	-213.0000	739183.046840
4.9376	-3.1940	3.4590	-198.0000	739183.046840
5.0461	-3.1940	3.4590	-180.0000	739183.046840
5.1526	-3.1940	3.4590	-180.0000	739183.046840
5.2598	-3.2690	3.4590	-180.0000	739183.046840
5.3735	-3.7190	3.4590	-180.0000	739183.046840
5.4836	-3.8690	3.4590	-180.0000	739183.046840
5.5931	-3.8690	3.4590	-180.0000	739183.046840
5.7019	-3.8690	3.4590	-180.0000	739183.046840
5.8111	-3.8690	3.4590	-195.0000	739183.046840
5.9113	-3.8690	3.4590	-210.0000	739183.046840
6.0212	-3.7100	3.6180	-228.0000	739183.046840
6.1340	-3.4865	3.9190	-234.0000	739183.046840
6.2392	-3.3102	4.1617	-234.0000	739183.046840
6.3603	-2.9851	4.4702	-216.0000	739183.046840
6.4841	-2.6518	4.6400	-201.0000	739183.046840
6.5920	-2.6518	4.6400	-183.0000	739183.046840
6.7116	-2.6518	4.6400	-165.0000	739183.046840
6.8241	-2.6518	4.6400	-147.0000	739183.046840
6.9426	-2.6518	4.6400	-129.0000	739183.046840
7.0596	-2.6518	4.6400	-111.0000	739183.046840
7.1599	-2.6518	4.6400	-96.0000	739183.046840
7.2713	-2.6518	4.6400	-78.0000	739183.046840
7.3936	-2.7454	4.1998	-78.0000	739183.046840
7.5066	-2.8234	3.8330	-78.0000	739183.046840
7.6181	-2.8625	3.3861	-90.0000	739183.046840
7.7246	-2.8625	3.0111	-90.0000	739183.046840
7.8391	-2.8625	2.6361	-90.0000	739183.046840
7.9509	-2.8625	2.2611	-90.0000	739183.046840
8.0621	-2.8860	1.8125	-81.0000	739183.046840
8.1632	-3.0356	1.3900	-63.0000	739183.046840
8.2742	-3.2903	1.0195	-54.0000	739183.046840
8.3773	-3.5548	0.6554	-54.0000	739183.046840
8.4840	-3.6901	0.4758	-45.0000	739183.046840
8.5890	-3.6901	0.4758	-30.0000	739183.046840
8.7037	-3.6901	0.4758	-15.0000	739183.046840
8.8235	-3.6901	0.4758	3.0000	739183.046840
8.9350	-3.6901	0.4758	18.0000	739183.046840
9.0410	-3.6901	0.4758	33.0000	739183.046840
9.1515	-3.9328	0.6521	42.0000	739183.046840
9.2528	-3.9328	0.6521	51.0000	739183.046840
9.3645	-3.9328	0.6521	51.0000	739183.046840
9.4855	-3.9328	0.6521	51.0000	739183.046840
9.5958	-3.9328	0.6521	39.0000	739183.046840
9.7033	-3.9328	0.6521	24.0000	739183.046840
9.8214	-4.0074	0.6599	6.0000	739183.046840
9.9407	-4.4568	0.6835	3.0000	739183.046840
10.0436	-4.8313	0.7031	3.0000	739183.046840
10.1570	-5.2720	0.7848	18.0000	739183.046840
10.2618	-5.6052	0.9546	36.0000	739183.046840
10.3621	-5.6052	0.9546	51.0000	739183.046840
10.4656	-5.6052	0.9546	69.0000	739183.046840
10.5781	-5.6052	0.9546	84.0000	739183.046840
10.6815	-5.6444	1.3275	84.0000	739183.046840
10.7973	-5.6914	1.7750	84.0000	739183.046840
10.9178	-5.7385	2.2226	84.0000	739183.046840
11.0301	-5.7777	2.5955	84.0000	739183.046840
11.1440	-5.7425	3.0423	102.0000	739183.046840
11.2472	-5.6645	3.4092	102.0000	739183.046840
11.3611	-5.5826	3.8513	96.0000	739183.046840
11.4790	-5.6139	4.3744	84.0000	739183.046840
11.6007	-5.6610	4.8220	84.0000	739183.046840
11.7043	-5.7002	5.1949	84.0000	739183.046840
11.8148	-5.7510	5.5661	78.0000	739183.046840
11.9271	-5.8850	5.9152	63.0000	739183.046840
